,bathrooms,has3DModel,propertyType,lotAreaValue,unit,priceChange,zestimate,daysOnZillow,datePriceChanged,price,bedrooms,longitude,hasVideo,latitude,zpid,rentZestimate,lotAreaUnit,livingArea,Street Address,City,State/ZIP
524,2,0,CONDO,,Apt C4,-25000.0,750600.0,191,1734076800000.0,750000,3.0,-74.024666,False,40.631325,82789449,3609,,1600,7401 4th Ave APT C4,Brooklyn,NY 11209
525,1,0,SINGLE_FAMILY,,Unit 2C,-15000.0,494500.0,137,1731571200000.0,495000,2.0,-73.95044,False,40.801704,442155942,,,810,103 Lenox Ave UNIT 2C,New York,NY 10026
528,1,0,CONDO,,Apt 601,,,25,,430000,2.0,-73.83348,False,40.70436,295907901,,,1300,118-11 84th Avenue #601,Kew Gardens,NY 11415
531,2,0,CONDO,,Apt G18,,,53,,380000,2.0,-73.84963,False,40.727978,245435477,,,1100,6712 Yellowstone Boulevard #G18,Forest Hills,NY 11375
532,1,0,CONDO,,Unit 2E,-25000.0,,10,1737532800000.0,219000,1.0,-73.87579,False,40.755817,439726309,,,663,33-25 92nd Street #2E,Jackson Heights,NY 11372
533,5,0,CONDO,,Penthouse 55,,19297700.0,75,,20000000,4.0,-73.9862,False,40.745632,442365313,,,4520,277 5th Ave #PENTHOUSE 55,New York,NY 10016
534,6,0,SINGLE_FAMILY,,1,-4999.0,1172500.0,125,1733126400000.0,1195000,11.0,-73.91793,False,40.74162,440940234,,,3945,45-43 47th St #1,Woodside,NY 11377
537,1,0,CONDO,,Apt 14J,-19000.0,422800.0,94,1737446400000.0,420000,2.0,-73.96232,True,40.76308,72529095,5028,,0,301 E 63rd St APT 14J,New York,NY 10065
538,2,0,CONDO,,Apt 1B,,1545300.0,5,,1575000,2.0,-73.94553,False,40.71671,83044447,7202,,1384,139 Jackson St APT 1B,Brooklyn,NY 11211
539,1,0,CONDO,,14V,-45000.0,387500.0,61,1737100800000.0,385000,1.0,-73.95259,False,40.773045,443102339,,,0,340 E 80th St #14V,New York,NY 10075
540,1,0,CONDO,0.67,Apt 2R,-11000.0,289000.0,108,1733385600000.0,289000,2.0,-73.94539,False,40.649025,92427502,2649,acres,748,3400 Snyder Ave APT 2R,Brooklyn,NY 11203
546,1,0,CONDO,,Apt 3B,,1500900.0,3,,1495000,2.0,-73.99262,False,40.680836,116082598,5522,,1025,370 Union St APT 3B,Brooklyn,NY 11231
